DATE,PRODUIT,QUANTITE
2022-08-14 00:00:00,T05,142
2022-08-14 00:00:00,T06,362
2022-08-14 00:00:00,T07,181
2022-08-14 00:00:00,T08,0
2022-08-15 00:00:00,PR,0
2022-08-15 00:00:00,PR1,7
2022-08-15 00:00:00,PR2,163
2022-08-15 00:00:00,PR3,256
2022-08-15 00:00:00,T03,38
2022-08-15 00:00:00,T04,95
2022-08-15 00:00:00,T05,110
2022-08-15 00:00:00,T06,452
2022-08-15 00:00:00,T07,238
2022-08-15 00:00:00,T08,0
2022-08-16 00:00:00,PR,0
2022-08-16 00:00:00,PR1,19
2022-08-16 00:00:00,PR2,312
2022-08-16 00:00:00,PR3,236
2022-08-16 00:00:00,T03,46
2022-08-16 00:00:00,T04,144
2022-08-16 00:00:00,T05,157
2022-08-16 00:00:00,T06,398
2022-08-16 00:00:00,T07,253
2022-08-16 00:00:00,T08,0
2022-08-17 00:00:00,PR,0
2022-08-17 00:00:00,PR1,26
2022-08-17 00:00:00,PR2,293
2022-08-17 00:00:00,PR3,324
2022-08-17 00:00:00,T03,41
2022-08-17 00:00:00,T04,120
2022-08-17 00:00:00,T05,128
2022-08-17 00:00:00,T06,426
2022-08-17 00:00:00,T07,218
2022-08-17 00:00:00,T08,0
2022-08-18 00:00:00,PR,0
2022-08-18 00:00:00,PR1,68
2022-08-18 00:00:00,PR2,289
2022-08-18 00:00:00,PR3,367
2022-08-18 00:00:00,T03,129
2022-08-18 00:00:00,T04,323
2022-08-18 00:00:00,T05,385
2022-08-18 00:00:00,T06,786
2022-08-18 00:00:00,T07,398
2022-08-18 00:00:00,T08,0
2022-08-19 00:00:00,PR,0
2022-08-19 00:00:00,PR1,80
2022-08-19 00:00:00,PR2,309
2022-08-19 00:00:00,PR3,448
2022-08-19 00:00:00,T03,200
2022-08-19 00:00:00,T04,465
2022-08-19 00:00:00,T05,537
2022-08-19 00:00:00,T06,1066
2022-08-19 00:00:00,T07,640
2022-08-19 00:00:00,T08,0
2022-08-20 00:00:00,PR,0
2022-08-20 00:00:00,PR1,45
2022-08-20 00:00:00,PR2,320
2022-08-20 00:00:00,PR3,360
2022-08-20 00:00:00,T03,128
2022-08-20 00:00:00,T04,420
2022-08-20 00:00:00,T05,505
2022-08-20 00:00:00,T06,944
2022-08-20 00:00:00,T07,448
2022-08-20 00:00:00,T08,0
2022-08-21 00:00:00,PR,0
2022-08-21 00:00:00,PR1,53
2022-08-21 00:00:00,PR2,419
2022-08-21 00:00:00,PR3,348
2022-08-21 00:00:00,T03,192
2022-08-21 00:00:00,T04,410
2022-08-21 00:00:00,T05,489
2022-08-21 00:00:00,T06,955
2022-08-21 00:00:00,T07,422
2022-08-21 00:00:00,T08,0
2022-08-22 00:00:00,PR,0
2022-08-22 00:00:00,PR1,59
2022-08-22 00:00:00,PR2,265
2022-08-22 00:00:00,PR3,300
2022-08-22 00:00:00,T03,180
2022-08-22 00:00:00,T04,328
2022-08-22 00:00:00,T05,477
2022-08-22 00:00:00,T06,941
2022-08-22 00:00:00,T07,446
2022-08-22 00:00:00,T08,0
2022-08-23 00:00:00,PR,0
2022-08-23 00:00:00,PR1,41
2022-08-23 00:00:00,PR2,426
2022-08-23 00:00:00,PR3,412
